,Country,Happiness Score,Year
0,Finland,7.587,2015
1,Denmark,7.561,2015
2,Iceland,7.527,2015
3,Switzerland,7.522,2015
4,Netherlands,7.427,2015
5,Luxembourg*,7.406,2015
6,Sweden,7.378,2015
7,Norway,7.364,2015
8,Israel,7.286,2015
9,New Zealand,7.284,2015
10,Austria,7.278,2015
11,Australia,7.226,2015
12,Ireland,7.2,2015
13,Germany,7.187,2015
14,Canada,7.119,2015
15,United States,6.983,2015
16,United Kingdom,6.946,2015
17,Czechia,6.94,2015
18,Belgium,6.937,2015
19,France,6.901,2015
20,Bahrain,6.867,2015
21,Slovenia,6.853,2015
22,Costa Rica,6.81,2015
23,United Arab Emirates,6.798,2015
24,Saudi Arabia,6.786,2015
25,Taiwan Province of China,6.75,2015
26,Singapore,6.67,2015
27,Romania,6.611,2015
28,Spain,6.575,2015
29,Uruguay,6.574,2015
30,Italy,6.505,2015
31,Kosovo,6.485,2015
32,Malta,6.477,2015
33,Lithuania,6.455,2015
34,Slovakia,6.411,2015
35,Estonia,6.329,2015
36,Panama,6.302,2015
37,Brazil,6.298,2015
38,Guatemala*,6.295,2015
39,Kazakhstan,6.269,2015
40,Cyprus,6.168,2015
41,Latvia,6.13,2015
42,Serbia,6.123,2015
43,Chile,6.003,2015
44,Nicaragua,5.995,2015
45,Mexico,5.987,2015
46,Croatia,5.984,2015
47,Poland,5.975,2015
48,El Salvador,5.96,2015
49,Kuwait*,5.948,2015
50,Hungary,5.89,2015
51,Mauritius,5.889,2015
52,Uzbekistan,5.878,2015
53,Japan,5.855,2015
54,Honduras,5.848,2015
55,Portugal,5.833,2015
56,Argentina,5.828,2015
57,Greece,5.824,2015
58,South Korea,5.813,2015
59,Philippines,5.791,2015
60,Thailand,5.77,2015
61,Moldova,5.759,2015
62,Jamaica,5.754,2015
63,Kyrgyzstan,5.716,2015
64,Belarus*,5.709,2015
65,Colombia,5.695,2015
66,Bosnia and Herzegovina,5.689,2015
67,Mongolia,5.605,2015
68,Dominican Republic,5.589,2015
69,Malaysia,5.548,2015
70,Bolivia,5.477,2015
