"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,33.16,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,33.717,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2019-Q2","Q2-2019","100HAB","Per 100 inhabitants","0","Units",,,34.833,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2019-Q4","Q4-2019","100HAB","Per 100 inhabitants","0","Units",,,34.703,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2020-Q2","Q2-2020","100HAB","Per 100 inhabitants","0","Units",,,35.386,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2020-Q4","Q4-2020","100HAB","Per 100 inhabitants","0","Units",,,35.416,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2021-Q2","Q2-2021","100HAB","Per 100 inhabitants","0","Units",,,35.358,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2021-Q4","Q4-2021","100HAB","Per 100 inhabitants","0","Units",,,35.607,,
"AUS","Australia","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2022-Q2","Q2-2022","100HAB","Per 100 inhabitants","0","Units",,,35.799,,
"AUT","Austria","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2018-Q2","Q2-2018","100HAB","Per 100 inhabitants","0","Units",,,28.419,,
"AUT","Austria","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2018-Q4","Q4-2018","100HAB","Per 100 inhabitants","0","Units",,,28.53,,
"AUT","Austria","BB-P100-TOT","Fixed broadband - All subscriptions per 100 inhabitants","2019-Q2","Q2-2019","100HAB","Per 100 inhabitants","0","Units",,,28.443,,
