,date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
12,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-03-15,0.396,0.0,0.006,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.236,0.267,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.026,0.0,14.551,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,2.609,4.134,0.0,0.0,0.0,0.361,1.377,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237,0.0,1.672,0.0,0.0,0.0,0.001,0.015,7.691,0.202,0.398,0.0,0.0,23.917,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0,0.0,0.0,0.0,0.0,0.001,0.207,1.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.569,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.184,0.155,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.088,0.087,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.0,0.0,0.0,0.03,1.119,0.0,5.088,0.0,0.021,0.0,0.19,2.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.8,0.201,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306
132,2020-05-14,9.597,1.848,0.617,0.352,1.737,0.0,87.672,0.0,0.0,0.0,5.296,6.114,9.393,1.063,0.306,7.271,1.062,0.0,1.358,0.672,3.551,6.817,96.517,0.0,0.0,31.149,0.0,5.972,0.0,17.009,0.0,34.29,0.0,0.0,4.718,0.353,0.0,0.0,2.902,59.863,3.372,0.0,0.0,1.636,6.631,0.001,4.318,1.195,0.335,0.0,0.193,0.355,6.699,1.873,0.0,2.232,5.241,0.192,16.32,0.892,0.0,10.331,80.607,1.586,1.736,3.582,0.0,8.295,0.832,0.008,29.442,30.737,0.0,0.0,0.0,7.039,46.034,0.0,0.0,1.674,0.0,1.335,6.189,0.0,0.0,1.541,0.0,0.0,5.054,0.0,0.672,0.0,0.505,0.95,2.473,1.036,38.283,5.272,12.441,0.0,1.041,0.911,9.328,0.517,58.729,94.636,4.974,57.997,0.707,2.194,63.179,0.089,0.412,0.481,0.0,1.683,13.587,0.603,0.0,1.621,0.364,0.0,0.754,0.147,0.0,2.545,0.412,1.23,21.618,0.034,0.0,0.324,7.637,0.841,3.75,0.0,0.0,0.0,0.0,30.664,45.999,0.0,22.609,0.0,0.0,3.189,0.0,0.534,0.0,0.0,0.0,0.0,0.0,48.394,0.0,0.386,0.72,0.572,0.508,0.0,54.974,0.0,8.598,0.0,4.968,0.222,1.53,1.76,0.0,0.381,16.559,0.0,0.295,181.735,1.852,0.0,5.971,19.375,6.149,1.484,0.0,17.447,8.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.977,3.186,0.0,7.131,0.0,1.859,1.242,45.257,0.709,6.604,0.0,1.364,1.937,35.937,0.251,0.0,49.181,0.092,1.323,0.0,96.783,11.784,0.0,3.215,0.076,0.028,0.0,0.452,0.0,0.0,0.0,0.405,10.206,0.0,0.0,0.0,0.0,4.912,11.439,92.536,72.414,20.105,9.549,1.169,0.058,0.0,0.0,0.0,0.0,0.0,0.386,0.2,0.0
192,2020-07-13,9.534,6.784,2.67,12.666,2.539,0.0,0.0,0.421,0.0,0.0,47.616,50.351,0.0,3.288,0.191,1.79,10.137,0.0,16.981,3.552,0.0,8.495,3.432,0.0,0.524,0.0,0.0,64.136,0.0,12.061,0.0,66.875,0.0,0.0,7.225,0.0,0.0,0.0,1.111,6.631,11.801,0.0,1.075,0.056,74.986,0.0,42.025,0.0,1.172,0.0,2.895,0.639,2.977,0.089,0.0,0.0,0.858,0.182,0.85,3.569,0.0,15.229,34.331,9.631,17.044,0.0,0.0,0.0,7.49,0.243,6.716,3.25,0.0,0.0,0.0,0.18,3.249,45.967,0.0,2.512,0.0,0.0,0.612,0.0,0.0,0.193,0.0,0.0,0.0,0.0,26.115,0.0,0.505,0.475,6.183,3.539,12.135,27.988,1.405,0.0,4.727,3.089,26.211,31.329,2.19,0.0,5.715,3.659,0.0,0.081,0.0,0.089,9.898,0.777,0.0,30.301,9.839,14.629,0.0,0.54,0.546,8.674,3.017,2.642,0.0,0.364,0.915,4.452,1.544,0.574,1.274,0.029,9.546,0.31,0.0,0.0,2.721,4.434,0.0,6.133,81.472,0.0,33.914,0.0,0.0,23.92,0.0,0.774,0.121,0.0,0.39,0.0,0.36,2.107,0.0,0.0,2.447,0.038,0.801,0.0,37.233,0.0,41.555,0.0,0.736,0.111,20.541,4.677,0.0,6.095,68.276,0.0,0.885,224.555,2.51,0.0,3.337,9.639,5.842,13.728,1.027,13.836,15.707,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.398,18.457,8.662,17.9,0.0,0.349,0.0,0.0,0.0,0.0,0.0,0.17,29.686,67.175,0.135,0.458,1.808,0.0,1.408,11.326,18.674,0.572,0.316,0.301,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,3.117,0.0,21.869,0.0,0.0,6.322,2.118,6.814,30.376,0.0,17.771,1.169,1.126,0.0,0.0,1.519,0.0,0.0,3.442,2.947,0.735
252,2020-09-11,10.5,0.438,2.296,20.758,2.583,0.0,0.0,0.702,0.0,0.0,103.976,14.386,65.753,4.808,4.737,2.125,3.186,60.977,12.906,2.886,0.0,7.341,3.603,17.272,0.0,0.0,0.0,197.969,0.0,30.307,1.141,50.503,0.0,0.0,16.514,0.044,0.0,0.0,0.143,1.586,8.429,0.0,0.179,0.113,36.167,0.013,74.585,0.0,3.182,0.0,30.304,0.142,7.692,1.249,0.0,0.0,3.431,0.04,0.85,0.892,0.0,26.361,237.653,2.234,12.625,0.0,0.0,0.0,9.154,1.856,7.261,5.856,0.0,0.0,0.0,1.263,3.311,16.417,3.265,0.0,0.0,0.0,0.996,0.0,0.0,4.141,0.0,0.0,20.214,75.677,13.058,0.0,0.361,2.85,21.021,1.295,12.729,28.468,1.605,0.0,10.402,4.991,18.758,24.137,1.194,0.0,21.59,2.1,6.72,1.404,0.0,0.443,8.609,0.833,0.0,46.574,7.965,0.754,0.0,0.54,13.298,1.301,0.0,18.496,0.0,0.364,0.61,7.03,0.0,0.81,0.147,0.088,5.727,0.089,9.376,0.0,5.442,0.422,0.0,0.0,54.163,0.0,39.413,0.0,0.0,41.462,0.0,12.814,0.303,0.148,11.687,0.0,4.878,1.993,0.0,0.386,1.007,0.0,0.293,0.0,32.343,0.0,24.838,0.0,0.184,3.131,24.474,0.369,0.0,12.571,41.737,0.099,33.477,162.616,7.2,0.0,3.738,4.284,31.361,3.71,7.186,30.825,10.027,0.508,0.0,0.0,0.0,0.0,31.431,0.0,0.0,0.0,0.0,0.0,11.096,0.808,3.202,0.0,0.232,0.0,45.257,0.709,0.943,0.0,0.284,27.332,75.091,0.656,0.092,21.636,0.0,0.256,48.54,2.085,2.631,2.124,0.402,0.0,0.0,0.0,1.13,0.0,0.0,16.329,2.671,8.038,0.0,43.739,0.0,0.529,15.742,2.118,1.97,32.404,40.209,17.112,0.584,2.166,0.0,0.0,3.569,0.051,0.0,0.534,0.899,1.961
312,2020-11-10,13.637,1.362,2.213,28.85,3.118,0.0,37.574,0.983,0.0,0.0,73.742,139.185,37.573,4.496,0.115,73.605,16.316,53.66,8.83,1.577,0.0,5.244,214.312,49.348,0.15,0.0,0.0,12.271,0.0,148.135,1.141,24.443,0.0,0.0,93.631,0.0,0.0,0.0,0.251,14.719,10.115,0.0,0.0,0.169,29.841,0.001,50.835,0.0,0.0,0.0,34.357,0.142,94.284,0.178,5.231,2.232,277.969,0.111,6.63,0.0,0.0,3.74,14.777,1.523,9.627,1.194,0.0,2.262,0.832,0.754,64.55,75.957,0.0,0.0,0.0,2.346,91.959,3.283,75.092,1.256,1.109,75.58,43.289,0.0,0.0,23.495,0.0,0.0,17.687,87.319,9.639,0.0,0.216,0.95,18.548,0.0,44.407,12.269,106.448,29.498,5.332,4.534,65.454,15.934,16.723,11.83,23.495,72.344,10.257,0.839,0.0,59.455,4.485,3.887,0.0,57.235,15.695,7.39,0.0,21.614,27.87,0.434,0.0,20.991,76.229,36.363,0.781,6.321,80.296,0.169,0.098,1.709,7.637,0.177,48.754,0.0,16.326,0.422,0.0,6.133,53.802,0.0,69.967,0.0,0.0,111.628,0.0,26.243,0.334,5.814,1.169,0.0,14.895,54.942,0.0,0.0,0.288,0.0,0.119,0.0,37.017,0.0,113.202,0.0,0.92,0.91,26.222,1.009,0.0,12.952,37.427,0.0,26.693,44.523,5.261,0.0,89.369,60.56,31.976,0.742,6.16,78.284,31.593,0.29,0.0,0.0,0.0,0.0,125.723,0.0,0.0,0.0,0.0,4.398,6.757,0.231,15.717,0.0,0.0,0.0,22.629,37.92,174.541,0.0,0.17,2.605,32.132,0.482,0.275,86.336,1.008,5.952,6.472,22.655,109.033,2.215,0.201,0.0,0.014,0.0,0.452,0.0,0.0,3.919,62.075,12.866,0.0,0.0,0.0,0.804,54.557,3.707,71.309,40.912,20.105,12.248,2.629,0.982,0.0,0.0,1.873,0.0,0.0,0.059,0.05,0.735
372,2021-01-09,21.687,2.82,6.684,34.479,1.826,0.0,12.525,0.534,0.0,0.0,54.845,61.141,28.18,3.627,0.076,114.211,44.892,14.635,2.038,1.916,0.0,13.739,75.927,96.229,0.0,46.724,1.278,18.652,0.0,118.756,3.802,48.729,0.0,0.0,148.187,0.529,0.0,0.0,0.107,47.173,3.372,0.0,0.0,0.226,31.423,0.013,69.649,13.146,2.01,0.0,38.604,0.178,187.576,0.714,31.385,35.714,200.21,0.384,64.091,0.0,0.0,1.781,10.055,6.992,17.202,0.597,1.357,57.312,104.021,0.624,92.896,103.026,18.826,0.0,0.0,9.024,77.337,9.85,45.708,0.837,0.739,106.292,138.935,0.149,153.013,66.25,0.0,7.971,0.0,17.464,12.049,0.0,0.072,0.0,6.183,0.173,81.504,17.637,160.826,2.682,2.438,10.719,17.82,2.742,30.459,0.0,46.354,110.98,4.598,6.269,144.41,24.633,9.073,0.925,0.0,39.279,3.28,3.469,0.0,163.726,36.978,6.505,0.0,22.459,304.917,221.086,0.959,4.53,97.282,0.203,1.029,2.593,1.909,2.213,48.754,0.0,2.721,9.713,0.0,6.133,108.412,0.0,99.297,54.808,0.0,102.06,0.0,13.749,0.758,4.559,24.542,0.0,3.994,71.681,0.0,0.0,0.288,0.992,0.439,0.0,94.761,0.0,89.32,0.0,9.201,0.422,3.059,3.414,0.0,61.332,137.459,0.0,29.2,64.905,2.613,0.0,99.004,110.312,47.657,0.742,0.0,75.435,49.443,3.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.777,0.0,3.131,3.465,84.697,9.334,0.116,0.0,22.629,195.625,222.186,0.0,0.17,102.665,46.234,5.925,0.092,58.349,1.924,1.899,19.416,125.695,117.843,4.655,0.1,0.0,0.098,0.0,0.452,0.0,0.0,1.306,58.514,36.079,0.0,0.0,0.0,0.296,49.519,4.66,158.883,117.275,10.052,21.677,28.047,0.116,0.0,0.0,1.625,0.0,0.0,0.119,2.997,7.782
432,2021-03-10,15.227,0.365,3.062,96.752,1.225,0.0,25.049,0.45,0.0,85.313,38.98,22.298,56.36,2.423,0.0,44.857,4.634,14.635,27.849,0.683,21.303,13.11,31.744,4.935,0.824,0.0,0.0,30.677,36.966,96.18,47.143,89.428,0.0,0.0,136.244,0.044,0.0,0.0,2.329,14.121,16.859,0.0,0.0,0.564,52.592,0.004,31.307,2.39,0.502,0.0,11.388,0.639,39.451,4.281,0.0,3.348,265.104,0.121,6.46,0.0,0.0,11.934,27.887,5.757,17.044,4.179,0.0,90.493,9.154,1.191,53.498,60.798,0.0,0.0,0.0,9.024,64.865,13.133,9.795,6.279,2.217,40.06,26.28,2.718,61.205,48.146,0.0,0.0,12.634,17.464,9.975,0.0,0.577,1.425,17.311,0.086,43.836,24.825,177.882,0.0,1.056,9.72,13.597,6.899,41.409,0.0,30.268,69.973,19.453,6.204,9.026,40.493,7.475,0.907,0.0,49.941,19.677,2.413,0.0,75.109,125.325,7.806,0.0,25.248,25.41,53.453,1.04,3.504,63.311,0.439,2.45,3.241,7.637,0.443,54.379,0.0,5.442,1.056,0.0,95.059,60.876,0.0,121.907,82.212,0.589,204.12,0.0,3.23,2.851,0.055,19.088,0.0,0.426,32.68,0.0,0.0,0.288,0.153,0.522,0.0,52.233,0.0,69.736,0.0,3.312,0.133,8.741,2.642,0.0,38.095,40.376,0.0,38.786,276.773,3.643,0.0,78.932,49.558,14.451,2.597,23.612,53.054,40.39,1.234,0.0,0.0,0.0,77.833,0.0,0.0,19.238,0.0,118.73,26.386,1.895,5.948,33.908,37.336,0.0,0.0,0.0,242.936,48.117,0.0,5.91,24.927,78.793,1.39,1.374,45.228,2.473,0.981,9.708,25.973,14.416,3.164,0.0,0.0,0.028,0.0,1.243,0.0,0.0,0.653,34.396,11.097,0.0,21.869,0.0,0.0,49.418,21.184,41.594,64.823,0.0,21.283,21.912,0.0,0.0,0.0,2.509,0.0,0.0,1.009,4.846,2.512
492,2021-05-09,23.569,2.529,3.04,14.425,2.739,0.0,37.574,1.489,0.0,10.664,138.518,77.685,46.966,15.481,0.0,39.935,31.28,39.025,39.396,5.146,3.551,14.578,44.613,4.935,0.225,109.022,0.0,32.64,36.966,175.969,18.629,151.862,0.0,0.0,153.79,0.265,0.0,2.743,3.152,16.695,52.262,0.0,1.434,0.113,69.324,0.001,123.781,0.0,0.67,0.0,44.201,0.355,151.103,12.576,73.232,40.178,59.177,0.162,3.91,15.167,0.0,6.412,54.386,7.631,8.207,2.985,0.543,43.738,0.0,2.756,48.253,54.382,0.0,0.0,1.076,3.068,54.235,19.7,0.0,2.093,0.739,68.369,28.116,0.119,0.0,98.989,0.0,0.0,63.169,17.464,18.045,0.0,0.722,0.0,45.751,1.295,29.951,46.967,198.349,0.0,35.317,8.777,61.027,11.776,5.574,0.0,3.069,62.215,16.623,7.342,0.0,45.455,19.847,5.183,0.0,47.696,29.047,11.01,0.0,59.438,62.662,1.301,0.0,17.028,25.41,65.817,1.497,20.79,18.53,4.154,0.294,6.806,24.819,1.638,7.501,0.0,46.257,0.422,0.77,3.066,20.109,0.0,91.965,27.404,22.069,121.196,0.0,2.029,0.425,0.055,24.932,0.0,18.201,16.169,0.0,0.0,0.288,0.038,0.018,0.0,23.016,0.0,198.7,0.0,5.704,0.089,46.326,7.624,0.0,38.095,13.156,0.0,185.673,300.503,13.802,0.0,115.412,3.018,31.669,31.167,9.24,83.218,35.201,0.726,0.0,0.0,0.0,27.798,31.431,0.0,19.238,0.0,0.0,0.0,4.724,1.039,49.916,28.002,0.0,0.0,0.0,92.851,40.097,0.0,3.296,10.001,139.129,1.177,0.092,20.059,7.283,2.667,33.978,20.854,13.043,5.514,0.0,0.0,3.612,1.491,0.339,0.0,0.0,25.473,90.562,55.483,0.0,0.0,0.0,0.148,102.514,4.343,2.592,26.439,0.0,30.877,235.188,0.549,0.0,0.0,8.975,0.0,0.0,2.819,0.599,1.225
552,2021-07-08,13.645,24.922,6.79,0.352,2.806,0.0,0.0,1.321,0.0,0.0,95.121,11.149,0.0,7.377,0.0,4.363,1.352,19.513,25.132,11.239,0.0,14.893,3.946,2.467,0.075,0.0,0.0,62.99,0.0,6.494,40.68,102.989,0.0,0.0,17.104,0.0,0.0,19.263,0.215,5.825,8.429,0.0,0.0,0.0,80.699,0.083,168.042,0.0,1.005,0.0,37.446,0.249,8.436,18.908,5.231,6.696,1.429,0.778,1.19,0.0,0.0,8.638,20.054,3.289,11.679,1.194,1.629,0.754,5.825,0.373,18.27,7.351,0.0,0.0,31.191,0.541,5.57,39.4,6.53,0.837,0.739,49.674,0.576,0.119,0.0,16.177,0.0,0.0,10.107,5.821,40.798,0.0,0.505,0.475,37.095,6.56,8.692,31.727,3.11,0.0,9.206,28.352,21.818,10.001,1.593,0.0,0.212,6.504,20.867,2.775,0.0,9.481,13.816,3.535,0.0,4.489,38.652,17.344,0.0,18.912,6.376,2.602,12.069,5.872,0.0,6.909,4.916,9.587,1.544,0.844,2.009,33.325,11.455,0.089,0.0,0.0,0.0,1.689,0.0,0.0,14.705,0.0,9.166,0.0,34.428,20.731,0.0,2.323,2.335,6.386,225.163,0.0,13.16,1.48,0.0,0.0,0.288,0.038,0.018,0.0,12.67,0.0,2.388,0.0,1.104,0.755,117.999,1.679,0.0,4.19,24.498,0.197,251.3,78.767,13.249,0.0,5.369,4.771,3.382,3.71,18.479,74.876,64.348,7.984,0.0,0.0,0.0,5.56,94.292,0.0,0.0,0.0,0.0,0.0,5.631,1.386,7.276,121.342,2.556,0.177,45.257,2.481,3.774,0.0,0.0,63.128,98.565,0.502,0.183,4.016,26.429,0.235,121.35,1.327,0.801,1.717,0.703,0.0,9.582,3.728,0.452,0.0,0.0,92.747,114.68,8.003,0.0,0.0,0.0,26.074,9.546,7.838,4.814,10.201,20.105,24.302,112.481,1.069,0.0,0.0,8.233,0.499,0.0,0.267,41.164,17.218
