,date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
12,2020-01-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-03-15,6132.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4055.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,1894.0,0.0,0.0,0.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2148.0,0.0,0.0,0.0,2.0,4.0,724.0,9.0,2.0,0.0,0.0,1441.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,753.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,75.0,0.0,243.0,0.0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,69.0,0.0,3230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
132,2020-05-14,314200.0,136.0,2853.0,31.0,519.0,0.0,49.0,0.0,0.0,3.0,729.0,49.0,3.0,23298.0,103.0,624.0,33.0,11.0,10.0,283.0,7.0,149.0,8825.0,2.0,2.0,8.0,0.0,128.0,0.0,120.0,1.0,12400.0,1.0,1.0,96.0,51.0,1.0,0.0,141.0,5155.0,2.0,1.0,0.0,44.0,346.0,4644.0,493.0,1.0,10.0,0.0,7.0,25.0,94.0,79.0,1.0,17.0,289.0,238.0,539.0,3.0,0.0,409.0,2334.0,556.0,20.0,7.0,0.0,61.0,2.0,25.0,160025.0,120664.0,0.0,0.0,0.0,294.0,27029.0,1.0,0.0,9.0,0.0,11.0,8870.0,0.0,0.0,155.0,0.0,0.0,13.0,5.0,27.0,16.0,15.0,3.0,10.0,18.0,249178.0,121.0,436.0,10.0,2549.0,1043.0,6783.0,115.0,1506.0,34.0,267.0,31106.0,9.0,687.0,27.0,9.0,33.0,40.0,0.0,20.0,82.0,12.0,0.0,19.0,26.0,0.0,22.0,3.0,1.0,39.0,856.0,14928.0,103.0,1.0,3.0,111.0,4.0,44.0,6.0,0.0,14.0,149.0,10.0,14.0,9834.0,0.0,190.0,1.0,0.0,9.0,1.0,188.0,0.0,6.0,0.0,0.0,0.0,5533.0,0.0,21.0,8.0,73.0,164.0,0.0,101117.0,0.0,95.0,2.0,229.0,131.0,17.0,761.0,0.0,4.0,249.0,0.0,11.0,10294.0,772.0,0.0,860.0,1252.0,125.0,14.0,0.0,1036.0,2305.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,10.0,273.0,0.0,222.0,0.0,22.0,21.0,15.0,27.0,111.0,0.0,52.0,219.0,26776.0,260.0,0.0,28002.0,9.0,90.0,1.0,3735.0,1693.0,3.0,32.0,21.0,56.0,0.0,11.0,0.0,0.0,8.0,45.0,3952.0,0.0,1.0,0.0,0.0,456.0,206.0,33663.0,84958.0,6.0,49152.0,19.0,11.0,0.0,0.0,10.0,0.0,0.0,13.0,9.0,8.0
192,2020-07-13,622576.0,1016.0,16062.0,89.0,999.0,0.0,52.0,26.0,0.0,3.0,5784.0,573.0,3.0,70465.0,113.0,739.0,298.0,11.0,108.0,2391.0,7.0,464.0,9758.0,2.0,26.0,9.0,0.0,1754.0,0.0,222.0,1.0,71469.0,1.0,3.0,268.0,53.0,1.0,0.0,357.0,8737.0,19.0,1.0,53.0,77.0,6979.0,4648.0,5119.0,7.0,48.0,0.0,28.0,85.0,119.0,87.0,1.0,19.0,355.0,376.0,615.0,56.0,0.0,897.0,5047.0,3858.0,260.0,41.0,0.0,63.0,20.0,145.0,194379.0,135966.0,0.0,0.0,0.0,309.0,29910.0,26.0,0.0,46.0,0.0,15.0,9316.0,0.0,0.0,193.0,0.0,0.0,14.0,5.0,1172.0,16.0,38.0,25.0,17.0,139.0,339166.0,771.0,595.0,10.0,23174.0,3656.0,12829.0,3150.0,1723.0,34.0,382.0,34954.0,10.0,982.0,31.0,10.0,375.0,185.0,0.0,92.0,390.0,147.0,0.0,31.0,36.0,20.0,55.0,39.0,1.0,62.0,3521.0,60911.0,111.0,35.0,39.0,122.0,13.0,121.0,9.0,0.0,15.0,295.0,10.0,37.0,49643.0,0.0,646.0,1.0,0.0,25.0,1.0,250.0,9.0,6.0,1.0,0.0,41.0,6114.0,0.0,22.0,91.0,92.0,740.0,0.0,201094.0,0.0,385.0,2.0,253.0,142.0,257.0,5270.0,0.0,39.0,893.0,0.0,21.0,44085.0,1534.0,0.0,1571.0,1665.0,177.0,147.0,3.0,1884.0,11439.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,42.0,14.0,2223.0,150.0,393.0,0.0,64.0,26.0,15.0,28.0,114.0,0.0,93.0,6565.0,140434.0,289.0,43.0,29828.0,11.0,650.0,18.0,5613.0,1737.0,16.0,55.0,21.0,58.0,0.0,15.0,0.0,0.0,8.0,50.0,5363.0,0.0,2.0,0.0,0.0,1398.0,333.0,41083.0,138087.0,6.0,218835.0,30.0,61.0,0.0,0.0,85.0,0.0,0.0,418.0,83.0,22.0
252,2020-09-11,996194.0,1424.0,34706.0,322.0,1589.0,0.0,53.0,130.0,0.0,3.0,21765.0,909.0,15.0,159583.0,820.0,831.0,555.0,63.0,207.0,4668.0,7.0,732.0,10036.0,18.0,40.0,9.0,0.0,7146.0,0.0,680.0,9.0,128539.0,1.0,3.0,706.0,56.0,1.0,0.0,415.0,9117.0,43.0,1.0,62.0,81.0,11781.0,4740.0,22053.0,7.0,88.0,0.0,543.0,120.0,208.0,106.0,1.0,21.0,458.0,446.0,635.0,61.0,0.0,1926.0,10749.0,5590.0,774.0,83.0,0.0,64.0,98.0,975.0,214575.0,144200.0,0.0,0.0,2.0,321.0,30654.0,63.0,1.0,53.0,0.0,19.0,9606.0,0.0,0.0,297.0,0.0,0.0,23.0,23.0,2918.0,16.0,63.0,39.0,48.0,215.0,418317.0,2044.0,630.0,10.0,76271.0,8544.0,22798.0,7814.0,1746.0,34.0,1110.0,35587.0,38.0,1412.0,32.0,20.0,1948.0,612.0,0.0,571.0,556.0,1063.0,0.0,35.0,219.0,51.0,88.0,352.0,1.0,70.0,6073.0,150876.0,124.0,208.0,176.0,128.0,31.0,128.0,15.0,0.0,18.0,308.0,10.0,40.0,88382.0,0.0,1111.0,1.0,0.0,114.0,1.0,1491.0,31.0,14.0,101.0,0.0,364.0,6246.0,0.0,24.0,144.0,93.0,1075.0,0.0,306073.0,0.0,642.0,2.0,265.0,877.0,762.0,6370.0,0.0,224.0,2116.0,5.0,474.0,77173.0,4066.0,0.0,2158.0,1858.0,556.0,205.0,9.0,4065.0,18365.0,22.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,42.0,15.0,4189.0,293.0,729.0,0.0,73.0,27.0,19.0,37.0,135.0,0.0,98.0,17751.0,280380.0,350.0,50.0,31852.0,12.0,835.0,92.0,5805.0,1792.0,147.0,72.0,21.0,58.0,0.0,37.0,0.0,0.0,40.0,107.0,6895.0,0.0,5.0,0.0,58.0,3076.0,398.0,41787.0,196946.0,18.0,420726.0,45.0,375.0,0.0,0.0,452.0,35.0,0.0,581.0,301.0,223.0
312,2020-11-10,1361000.0,1574.0,46780.0,559.0,2062.0,0.0,75.0,308.0,0.0,3.0,41041.0,1609.0,40.0,258093.0,917.0,1860.0,840.0,154.0,329.0,6108.0,7.0,1011.0,13600.0,70.0,43.0,9.0,0.0,8795.0,3.0,1583.0,28.0,162397.0,1.0,3.0,1771.0,67.0,1.0,0.0,433.0,10465.0,100.0,1.0,62.0,100.0,14588.0,4748.0,32791.0,7.0,92.0,0.0,1476.0,127.0,832.0,130.0,2.0,27.0,5548.0,498.0,753.0,61.0,0.0,2267.0,12839.0,6380.0,1014.0,85.0,0.0,76.0,117.0,1530.0,307935.0,205497.0,0.0,0.0,2.0,361.0,40665.0,70.0,49.0,57.0,122.0,521.0,15524.0,320.0,0.0,825.0,0.0,0.0,133.0,90.0,3823.0,16.0,74.0,43.0,134.0,232.0,545771.0,2751.0,2596.0,22.0,127059.0,14761.0,38749.0,11380.0,1956.0,35.0,2697.0,41750.0,221.0,1829.0,32.0,1295.0,2306.0,1130.0,0.0,758.0,816.0,1185.0,0.0,103.0,732.0,62.0,88.0,944.0,4.0,228.0,7818.0,249043.0,199.0,249.0,185.0,294.0,41.0,137.0,81.0,0.0,33.0,310.0,10.0,46.0,113722.0,0.0,1938.0,2.0,0.0,336.0,1.0,4356.0,99.0,1437.0,145.0,0.0,1732.0,8035.0,0.0,25.0,157.0,93.0,1158.0,0.0,384341.0,0.0,1186.0,2.0,285.0,1092.0,1310.0,6977.0,0.0,593.0,2798.0,7.0,1490.0,87613.0,7647.0,0.0,8045.0,2978.0,957.0,232.0,28.0,8009.0,31161.0,38.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,42.0,16.0,5559.0,326.0,901.0,0.0,75.0,28.0,23.0,390.0,674.0,0.0,107.0,20512.0,362759.0,485.0,61.0,42437.0,41.0,1116.0,113.0,6174.0,3026.0,321.0,83.0,21.0,60.0,0.0,57.0,0.0,0.0,111.0,1920.0,10972.0,0.0,6.0,0.0,170.0,8756.0,515.0,50710.0,243696.0,23.0,558006.0,62.0,588.0,0.0,0.0,826.0,35.0,0.0,602.0,349.0,255.0
372,2021-01-09,2043916.0,2264.0,71743.0,1223.0,2798.0,0.0,84.0,415.0,0.0,5.0,49913.0,2922.0,50.0,348227.0,922.0,8001.0,2845.0,175.0,354.0,7756.0,7.0,1498.0,20226.0,267.0,44.0,12.0,1.0,9304.0,3.0,4285.0,48.0,200498.0,1.0,3.0,8078.0,89.0,2.0,0.0,451.0,16463.0,114.0,2.0,63.0,107.0,16974.0,4796.0,45067.0,18.0,112.0,0.0,2286.0,139.0,4304.0,148.0,18.0,144.0,13343.0,610.0,1517.0,61.0,0.0,2424.0,14165.0,8085.0,1398.0,86.0,6.0,278.0,279.0,1974.0,612301.0,421150.0,1.0,0.0,2.0,624.0,67049.0,74.0,122.0,66.0,125.0,2750.0,57459.0,338.0,11.0,5195.0,0.0,1.0,155.0,124.0,4972.0,16.0,81.0,45.0,167.0,237.0,945134.0,3244.0,10554.0,30.0,150798.0,23947.0,56018.0,12877.0,2380.0,35.0,3657.0,77911.0,307.0,3932.0,57.0,3989.0,2845.0,1703.0,0.0,1358.0,940.0,1367.0,0.0,818.0,1570.0,79.0,89.0,1568.0,50.0,2182.0,10720.0,333849.0,536.0,267.0,208.0,537.0,49.0,295.0,232.0,0.0,43.0,383.0,10.0,56.0,156877.0,0.0,3273.0,5.0,1.0,712.0,1.0,7685.0,181.0,2826.0,253.0,0.0,2833.0,12150.0,0.0,25.0,166.0,127.0,1342.0,0.0,575897.0,0.0,2614.0,2.0,471.0,1206.0,1505.0,10558.0,0.0,1707.0,4321.0,9.0,2352.0,94615.0,9364.0,0.0,31097.0,7623.0,1757.0,246.0,42.0,16506.0,61381.0,115.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,64.0,17.0,6282.0,446.0,3513.0,1.0,77.0,29.0,27.0,2836.0,3277.0,0.0,130.0,32425.0,434542.0,1100.0,64.0,56381.0,229.0,1604.0,130.0,10449.0,8115.0,763.0,91.0,21.0,67.0,0.0,72.0,0.0,0.0,127.0,5108.0,22450.0,0.0,6.0,0.0,310.0,19668.0,697.0,82687.0,380356.0,24.0,753766.0,231.0,616.0,0.0,0.0,1052.0,35.0,0.0,611.0,441.0,468.0
432,2021-03-10,2743296.0,2451.0,106682.0,1956.0,3022.0,0.0,112.0,516.0,0.0,22.0,58607.0,3237.0,77.0,406652.0,924.0,10588.0,3250.0,185.0,474.0,8496.0,37.0,2055.0,22601.0,315.0,81.0,12.0,1.0,11845.0,5.0,5345.0,424.0,266398.0,1.0,3.0,10902.0,143.0,3.0,0.0,588.0,22093.0,154.0,2.0,63.0,146.0,21182.0,4848.0,60598.0,146.0,131.0,0.0,2841.0,206.0,5621.0,352.0,22.0,238.0,22930.0,712.0,2381.0,63.0,0.0,3191.0,16069.0,11082.0,1923.0,98.0,7.0,677.0,658.0,2451.0,859300.0,580423.0,1.0,0.0,2.0,812.0,88787.0,87.0,141.0,91.0,153.0,3613.0,78821.0,679.0,93.0,6843.0,0.0,1.0,168.0,133.0,6493.0,17.0,95.0,51.0,203.0,250.0,1320604.0,4283.0,16325.0,30.0,158063.0,37932.0,60867.0,13618.0,4689.0,35.0,5927.0,100479.0,460.0,8353.0,69.0,5046.0,3456.0,1886.0,0.0,1658.0,1141.0,1476.0,0.0,1726.0,5134.0,309.0,91.0,2297.0,56.0,3356.0,14969.0,394908.0,672.0,310.0,1074.0,1186.0,64.0,358.0,337.0,0.0,47.0,442.0,10.0,129.0,216370.0,0.0,4409.0,26.0,4.0,1085.0,1.0,8695.0,700.0,3200.0,461.0,0.0,3012.0,15911.0,0.0,26.0,175.0,177.0,1988.0,0.0,800898.0,0.0,3244.0,2.0,638.0,1228.0,1597.0,13281.0,0.0,2400.0,5934.0,0.0,3343.0,127980.0,12528.0,0.0,46023.0,16589.0,2092.0,264.0,71.0,21056.0,90275.0,270.0,0.0,0.0,0.0,46.0,12.0,0.0,8.0,0.0,77.0,32.0,6539.0,935.0,4599.0,15.0,79.0,0.0,27.0,8146.0,4226.0,0.0,319.0,50906.0,568536.0,1648.0,102.0,76513.0,511.0,1925.0,175.0,13174.0,9717.0,1074.0,91.0,21.0,85.0,0.0,92.0,0.0,0.0,140.0,8268.0,29160.0,0.0,15.0,0.0,331.0,27423.0,1345.0,125957.0,533273.0,25.0,1012221.0,658.0,622.0,0.0,0.0,1391.0,0.0,0.0,655.0,1137.0,1489.0
492,2021-05-09,3433542.0,2686.0,124612.0,2408.0,3321.0,0.0,127.0,630.0,0.0,32.0,78681.0,4234.0,100.0,567256.0,928.0,12515.0,4666.0,212.0,678.0,11934.0,45.0,2622.0,24662.0,323.0,100.0,30.0,1.0,13182.0,16.0,8793.0,751.0,419114.0,1.0,3.0,16902.0,162.0,6.0,120.0,1152.0,24297.0,232.0,2.0,95.0,171.0,27101.0,4858.0,76867.0,146.0,148.0,0.0,3365.0,291.0,7424.0,722.0,113.0,341.0,30025.0,772.0,2497.0,149.0,0.0,3523.0,19137.0,13845.0,2150.0,112.0,12.0,1201.0,671.0,3871.0,1048515.0,713260.0,1.0,0.0,3.0,941.0,105515.0,104.0,141.0,143.0,175.0,4281.0,91065.0,783.0,94.0,10978.0,0.0,1.0,236.0,139.0,7717.0,17.0,150.0,67.0,314.0,269.0,1514123.0,5585.0,28602.0,30.0,242362.0,47012.0,74524.0,15741.0,4983.0,39.0,6404.0,122694.0,803.0,10823.0,69.0,9076.0,6758.0,2883.0,0.0,2193.0,1635.0,1655.0,0.0,2212.0,7460.0,319.0,91.0,3063.0,58.0,4038.0,20016.0,552516.0,804.0,722.0,1153.0,1657.0,84.0,499.0,417.0,0.0,87.0,456.0,17.0,170.0,234038.0,0.0,6441.0,32.0,158.0,1533.0,1.0,9064.0,821.0,3210.0,689.0,0.0,3720.0,17314.0,0.0,26.0,183.0,192.0,2065.0,0.0,872895.0,0.0,5093.0,2.0,767.0,1239.0,2163.0,18797.0,0.0,3619.0,6258.0,0.0,6974.0,172041.0,18269.0,0.0,70019.0,16982.0,2390.0,502.0,150.0,28903.0,113326.0,338.0,1.0,0.0,0.0,75.0,14.0,0.0,12.0,0.0,90.0,35.0,7059.0,1117.0,6539.0,28.0,79.0,0.0,27.0,12019.0,4642.0,0.0,747.0,54724.0,819024.0,1874.0,115.0,81287.0,801.0,2446.0,214.0,14278.0,10235.0,1648.0,91.0,21.0,399.0,5.0,124.0,0.0,0.0,196.0,11350.0,42746.0,0.0,17.0,0.0,346.0,46393.0,1610.0,128355.0,580028.0,27.0,1346036.0,3032.0,662.0,0.0,0.0,2263.0,0.0,0.0,1271.0,1257.0,1576.0
552,2021-07-08,4029414.0,5477.0,149440.0,2456.0,3786.0,0.0,127.0,925.0,0.0,42.0,107269.0,4536.0,107.0,813793.0,928.0,12965.0,4979.0,252.0,1367.0,15792.0,47.0,3214.0,25343.0,330.0,105.0,33.0,1.0,17013.0,17.0,9654.0,1202.0,526892.0,1.0,3.0,18129.0,168.0,8.0,798.0,1330.0,26122.0,289.0,2.0,98.0,174.0,33328.0,5563.0,110019.0,146.0,171.0,0.0,4740.0,316.0,8224.0,1405.0,126.0,388.0,30493.0,973.0,2538.0,155.0,0.0,3870.0,21728.0,16332.0,2420.0,122.0,27.0,1270.0,684.0,4338.0,1118860.0,746134.0,1.0,0.0,42.0,987.0,110289.0,154.0,144.0,161.0,183.0,5414.0,92839.0,799.0,94.0,12763.0,0.0,1.0,270.0,140.0,9573.0,17.0,175.0,70.0,482.0,491.0,1589540.0,7149.0,30004.0,31.0,405028.0,63760.0,85261.0,17413.0,5043.0,39.0,6437.0,127718.0,1101.0,14897.0,69.0,9800.0,7934.0,3705.0,0.0,2252.0,2059.0,2073.0,3.0,2535.0,7867.0,335.0,228.0,3223.0,59.0,4396.0,28060.0,790185.0,820.0,930.0,1218.0,5768.0,213.0,527.0,420.0,0.0,98.0,490.0,18.0,174.0,240943.0,0.0,6751.0,33.0,570.0,1619.0,1.0,9341.0,934.0,3621.0,1883.0,0.0,9320.0,17757.0,0.0,26.0,192.0,194.0,2122.0,0.0,912321.0,0.0,5486.0,2.0,798.0,1464.0,3534.0,22469.0,0.0,3845.0,6591.0,175.0,13553.0,193588.0,25459.0,0.0,75153.0,17117.0,2562.0,596.0,244.0,34098.0,140775.0,507.0,1.0,0.0,3.0,85.0,29.0,0.0,12.0,0.0,90.0,37.0,7921.0,1183.0,7063.0,68.0,108.0,36.0,34.0,12516.0,4770.0,0.0,775.0,63039.0,1033535.0,2034.0,117.0,82921.0,3334.0,2762.0,552.0,14638.0,10384.0,1893.0,98.0,21.0,2462.0,25.0,132.0,0.0,0.0,903.0,15735.0,50041.0,0.0,18.0,0.0,2062.0,52560.0,1847.0,129154.0,602719.0,32.0,1620577.0,5735.0,760.0,0.0,0.0,3222.0,121.0,7.0,1364.0,2618.0,1973.0
