"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2001","2001",,,"0","Units",,,53382,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2001","2001",,,"0","Units",,,2.77,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2002","2002",,,"0","Units",,,53992,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2002","2002",,,"0","Units",,,2.77,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2003","2003",,,"0","Units",,,56208,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2003","2003",,,"0","Units",,,2.85,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2004","2004",,,"0","Units",,,58209,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2004","2004",,,"0","Units",,,2.92,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2005","2005",,,"0","Units",,,60252,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2005","2005",,,"0","Units",,,2.99,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2006","2006",,,"0","Units",,,62426,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2006","2006",,,"0","Units",,,3.05,,
"1","Country","AUS","Australia","DOC","Active Physicians (number)","ALL","All regions","2007","2007",,,"0","Units",,,67208,,
"1","Country","AUS","Australia","DOC_RA","Active Physicians Rate (physicians for 1000 population)","ALL","All regions","2007","2007",,,"0","Units",,,3.23,,
